2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Aberasturi, Jon', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Ackermann, Pascal', '301.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Alaphilippe, Julian', '19.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Albanese, Vincenzo', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Aleotti, Giovanni', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Almeida, João', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Aranburu, Alex', '101.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Arndt, Nikias', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Asgreen, Kasper', '301.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Askey, Lewis', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bagioli, Andrea', '151.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Ballerini, Davide', '101.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Balmer,\xa0Alexandre', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:51 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Barbero, Carlos', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Barbier, Rudy', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bardet, Romain', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Barguil, Warren', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Baroncini, Filippo', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Battaglin, Enrico', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Battistella, Samuele', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bauhaus, Phil', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bennett, Sam', '101.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Benoot, Tiesj', '151.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bettiol, Alberto', '101.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bevin, Patrick', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bilbao, Pello', '151.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Boasson Hagen, Edvald', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bol, Cees', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bonifazio, Niccolo', '301.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bouhanni, Nacer', '251.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Brambilla, Gianluca', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Burgaudeau, Mathieu', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Calmejane, Lilian', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Caruso, Damiano', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Cavendish, Mark', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Ciccone, Giulio', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Cimolai, Davide', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Clarke, Simon', '301.0', '2023/03/14 12:47:51')
2023/03/14 12:47:52 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Consonni, Simone', '251.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Coquard, Bryan', '151.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Cort, Magnus', '34.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Costa, Rui', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Covi, Alessandro', '201.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dainese, Alberto', '151.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'de Buyst, Jasper', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'De Gendt, Aime', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'De Lie, Arnaud', '41.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'De Pooter, Dries', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Degenkolb, John', '301.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dekker, David', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Denz, Nico', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Devriendt, Tom', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dillier, Silvan', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Doull, Owain', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dujardin, Sandy', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Démare, Arnaud', '81.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Edmondson, Alexander', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Eekhoff, Nils', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Eiking, Odd Christian', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Einhorn, Itamar', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Ewan, Caleb', '15.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Fedorov, Yevgeniy', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Felline, Fabio', '601.0', '2023/03/14 12:47:51')
